Código;Producto;Categoria_Path;Descripcion_Corta;Proveedor;Descripcion_Larga
394;B.Basura 52X60 N(G80) AD R.25;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
398;B.Basura 85X105 N(G140)AD R10;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
402;B.Basura 115X150 N(G150)AD R10;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
411;B.Basura MD85X105 N(ST)AD R10;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
4436;B.Basura 85X105 B(G150)AD R10;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
5779;B.Basura 52X60AM(G70)AD ROL.35;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
6662;B.Basura 110X120 AZ (G170) ROLLO 10;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
7640;B.Basura 42X70 NAT G-110 ROLLO 25 UNIDS;Útiles de Limpieza/Bolsas basura;;VIT Plastic, S.L.;
MAXIII-35;MAXXI II 35 - ASPIRADORES PROFESIONALES DE AGUA Y POLVO;Maquinaria/Aspiradoras;Aspirador de agua y polvo MAXXI II;Nilfisk Alto;
SALTIX10;SALTIX 10 - ASPIRADORES PROFESIONALES PARA POLVO;Maquinaria/Aspiradoras;Saltix 10;Nilfisk Alto;
PR1000;MATERIAL DE PRUEBA;Maquinaria/Aspiradoras;Prueba de Import;VIT Plastic, S.L.;Vaya Charla
